[Header]
TITLE,20201208_CrCl2pym-Ag_HC_2to60K.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.4,MASS:Sample Mass (mg)
INFO,0.2,MASSERR:Sample Mass Error (mg)
INFO,0,MOLWGHT:Formula Weight (g/mole)
INFO,0,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (muJ/K),Samp HC Err (muJ/K),Addenda HC (muJ/K),Addenda HC Err (muJ/K),Total HC (muJ/K),Total HC Err (muJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (muJ/K/K),Addenda Offset HC (muJ/K)
3816569673.13442,CALFILE: C:\QDDYNA~1\HEATCA~1\TempCal\Standard\Puck1810.cal|Addenda #127 measured on 26/11/2020 from 1.8431 to 60.449 K
3816569673.13676,,1857,1.79999,1.79999,-0.15407714,9.8999999E-6,1.8195271,0.036902066,4.1974589,0.07482,0.35840197,0.0007675,4.5558609,0.07482,777.9867,2.5377586,,,,,1,,,,1.7952302E-6,5.0730242,3.3106788,2.3068955,0
3816569711.28552,,1857,1.79995,1.79995,-0.15407714,9.8999999E-6,1.8179896,0.040172431,4.0207792,0.01601,0.3583537,0.0007672,4.3791329,0.01601,49.877666,3.1534776,0.012105404,94.692122,,,1,,,,1.4545548E-6,5.0755173,3.3050861,2.2116624,0
3816569752.90015,,1857,1.79991,1.79991,-0.14222506,9.8999999E-6,1.821986,0.041950191,4.2064816,0.06378,0.35903889,0.0007707,4.5655205,0.06377,2222.5964,2.6341403,,,,,1,,,,1.7332108E-6,6.3069552,3.319633,2.3087343,0
3816569885.85807,,1857,2.00011,2.00011,-0.17778131,9.8999999E-6,2.0197931,0.042309292,4.4746909,0.07212,0.4411154,0.001006,4.9158063,0.07211,814.95372,2.4594044,,,,,1,,,,1.9987792E-6,5.2682806,4.0795642,2.2154204,0
3816569923.97342,,1857,1.9999,1.9999,-0.13037296,9.8999999E-6,2.0189568,0.040879504,4.4787729,0.07198,0.44061871,0.001005,4.9193916,0.07198,257.5004,2.460912,,,,,1,,,,1.9990116E-6,4.9188089,4.0761865,2.2183599,0
3816569962.11478,,1857,2.00006,2.00006,-0.14222506,9.8999999E-6,2.0189633,0.040900905,4.4767743,0.07268,0.44062199,0.001005,4.9173963,0.07268,1833.1201,2.4594538,,,,,1,,,,1.9993855E-6,4.9218239,4.0762127,2.2173629,0
3816570112.42316,,1857,2.19991,2.19991,-0.13037296,9.8999999E-6,2.2182432,0.045538885,4.7207807,0.07064,0.54958948,0.00166,5.2703702,0.07062,1643.1914,2.3990297,,,,,1,,,,2.1968758E-6,4.9189077,4.9206029,2.1281619,0
3816570150.55269,,1857,2.19986,2.19986,-0.14222506,9.8999999E-6,2.2179833,0.045148295,4.7243044,0.0709,0.54952139,0.00166,5.2738258,0.07088,1352.609,2.4027925,,,,,1,,,,2.1948736E-6,4.7980594,4.91945,2.13,0
3816570188.70515,,1857,2.20008,2.20008,-0.14222506,9.8999999E-6,2.2180315,0.045209293,4.7235516,0.07087,0.54953508,0.00166,5.2730867,0.07085,383.55121,2.4052396,,,,,1,,,,2.1923333E-6,4.8055849,4.9196638,2.1296143,0
