1.00	0.000818
2.00	0.00265	
3.00	0.0065	
4.00	0.0134	
5.00	0.0243	
6.00	0.0403	
7.00	0.0626	
8.00	0.0927	
9.00	0.132	
10.00	0.183	
11.00	0.247	
12.00	0.325	
13.00	0.421	
14.00	0.535	
15.00	0.670	
16.00	0.826	
17.00	1.002	
18.00	1.199	
19.00	1.414	
20.00	1.647	
25.00	3.066	
30.00	4.774	
35.00	6.612	
40.00	8.419	
45.00	10.11	
50.00	11.66	
55.00	13.04	
60.00	14.27	
65.00	15.35	
70.00	16.30	
75.00	17.14	
80.00	17.87	
85.00	18.53	
90.00	19.11	
95.00	19.63	
100.00	20.10	
105.00	20.52	
110.00	20.89	
115.00	21.23	
120.00	21.54	
125.00	21.82	
130.00	22.07	
135.00	22.31	
140.00	22.52	
145.00	22.72	
150.00	22.90	
155.00	23.07	
160.00	23.22	
165.00	23.37	
170.00	23.50	
175.00	23.63	
180.00	23.75	
185.00	23.86	
190.00	23.96	
195.00	24.06	
200.00	24.16	
205.00	24.24	
210.00	24.33	
215.00	24.41	
220.00	24.49	
225.00	24.56	
230.00	24.63	
235.00	24.69	
240.00	24.76	
245.00	24.82	
250.00	24.88	
255.00	24.93	
260.00	24.99	
265.00	25.04	
270.00	25.09	
273.15	25.12	
275.00	25.14	
280.00	25.19	
285.00	25.24	
290.00	25.28	
295.00	25.32	
298.15	25.35	
300.00	25.37	
