[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1622262650.763000 5/29/2021, 5:30:50 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, CrCl2pym
INFO, WEIGHT, 26.600
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, -
INFO, COMMENT, 44.5mg eicosane
INFO, SEQUENCE FILE: JP_ZFC_FC_MH_210528_sicogi_CrCl2pym.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1622262650.763,,0.000000e+000,1.999979e+000,6.421298e-007,8.719711e-008,0.000000e+000,0.000000e+000,2,8.694528e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,1.839876e-003,0,,0,
1622262705.004,,1.006293e+002,2.001592e+000,4.492344e-004,8.626286e-008,0.000000e+000,0.000000e+000,2,9.689800e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,6.520748e-004,0,,0,
1622262746.718,,2.031972e+002,2.001383e+000,9.067183e-004,2.046288e-007,0.000000e+000,0.000000e+000,2,9.688941e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,5.271435e-004,0,,0,
1622262788.027,,3.109066e+002,2.000351e+000,1.389716e-003,2.182205e-006,0.000000e+000,0.000000e+000,2,9.688275e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,7.200241e-004,0,,0,
1622262829.867,,4.174255e+002,1.999226e+000,1.881747e-003,1.027895e-005,0.000000e+000,0.000000e+000,2,9.687743e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,6.629229e-004,0,,0,
1622262879.584,,5.176543e+002,1.998341e+000,2.316840e-003,5.748083e-006,0.000000e+000,0.000000e+000,2,9.687749e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,3.030300e-004,0,,0,
1622262920.362,,6.213285e+002,1.998125e+000,2.755284e-003,1.011214e-005,0.000000e+000,0.000000e+000,2,9.689674e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,1.790524e-004,0,,0,
1622262977.802,,7.161947e+002,1.998793e+000,3.185820e-003,1.231933e-005,0.000000e+000,0.000000e+000,2,9.691159e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,1.116991e-003,0,,0,
1622263030.545,,8.371475e+002,1.999948e+000,3.617367e-003,2.585445e-007,0.000000e+000,0.000000e+000,2,9.689239e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,5.120039e-004,0,,0,
1622263072.603,,9.111314e+002,2.000358e+000,4.062450e-003,1.435282e-006,0.000000e+000,0.000000e+000,2,9.689924e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,4,4,3.049374e-004,0,,0,
