[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1611874962.024000 1/28/2021, 11:02:42 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, sicogi_CrCl2pym
INFO, WEIGHT, 26.600
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, eicosane 44.5
INFO, SEQUENCE FILE: JP_ZFC_FC_MH_280121.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1611874962.024,,1.000000e+002,3.000010e+002,1.088772e-004,1.215501e-008,1.457116e-001,4.019094e-005,3,9.788603e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.980591e-002,0,,0,
1611875471.287,,1.000000e+002,2.902695e+002,1.121958e-004,2.746548e-008,1.482146e-001,8.637656e-005,3,9.789783e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,5.541992e-002,0,,0,
1611875715.162,,1.000000e+002,2.794916e+002,1.161513e-004,2.912583e-008,1.421555e-001,4.795058e-005,3,9.791582e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.914795e-001,0,,0,
1611875934.701,,1.000000e+002,2.695627e+002,1.199967e-004,2.003468e-008,1.367936e-001,7.907751e-005,3,9.793079e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.147888e-001,0,,0,
1611876154.349,,1.000000e+002,2.595550e+002,1.240767e-004,1.891608e-008,1.315128e-001,8.376024e-005,3,9.795069e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.829895e-001,0,,0,
1611876375.230,,1.000000e+002,2.495886e+002,1.283589e-004,1.801233e-008,1.265619e-001,4.631385e-005,3,9.796238e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,3.016052e-001,0,,0,
1611876596.501,,1.000000e+002,2.395955e+002,1.329486e-004,1.710330e-008,1.215161e-001,6.536388e-005,3,9.797974e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.651978e-001,0,,0,
1611876818.365,,1.000000e+002,2.295970e+002,1.378346e-004,2.610190e-008,1.168052e-001,3.475605e-005,3,9.799690e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.543945e-001,0,,0,
1611877043.052,,1.000000e+002,2.196129e+002,1.430407e-004,3.153652e-008,1.122038e-001,8.818846e-005,3,9.801376e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.738037e-001,0,,0,
1611877268.800,,1.000000e+002,2.096126e+002,1.486255e-004,1.642369e-008,1.078867e-001,3.773722e-005,3,9.802333e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.584076e-001,0,,0,
