[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1611847659.361000 1/28/2021, 3:27:39 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, sicogi_CrCl2pym
INFO, WEIGHT, 26.600
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, eicosane 44.5
INFO, SEQUENCE FILE: JP_ZFC_FC_MH_280121.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1611847659.345,,1.000000e+002,3.691721e+000,3.831249e-004,9.234079e-007,3.977140e-002,1.491714e-004,3,9.722756e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.234149e-001,0,,0,
1611851438.031,,1.000000e+002,2.002797e+000,4.190633e-004,2.673537e-008,2.957805e-002,2.462653e-005,3,9.599986e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,4.083991e-003,0,,0,
1611851649.130,,1.000000e+002,2.252528e+000,4.110619e-004,1.811437e-008,3.165524e-002,1.118973e-005,3,9.630658e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,5.383968e-003,0,,0,
1611851853.881,,1.000000e+002,2.502924e+000,4.047745e-004,3.437076e-008,3.324507e-002,4.957380e-005,3,9.653239e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,5.409002e-003,0,,0,
1611852077.179,,1.000000e+002,2.752640e+000,3.993521e-004,3.929853e-008,3.454972e-002,2.290555e-005,3,9.671700e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,6.603003e-003,0,,0,
1611852332.880,,1.000000e+002,3.001942e+000,3.945423e-004,2.199791e-008,3.567854e-002,3.186781e-005,3,9.687384e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,7.159948e-003,0,,0,
1611852635.473,,1.000000e+002,3.251042e+000,3.902034e-004,2.730733e-008,3.664057e-002,4.469712e-005,3,9.700368e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,7.155895e-003,0,,0,
1611852851.144,,1.000000e+002,3.523457e+000,3.858946e-004,1.327415e-007,3.758423e-002,2.308258e-005,3,9.713058e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,2.747321e-002,0,,0,
1611853071.946,,1.000000e+002,3.762651e+000,3.824989e-004,5.906853e-008,3.835635e-002,1.768060e-005,3,9.722279e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.330209e-002,0,,0,
1611853336.195,,1.000000e+002,4.008170e+000,3.793287e-004,5.731744e-008,3.904106e-002,2.512624e-005,3,9.730888e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,4,4,1.304007e-002,0,,0,
